model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Fiesta,2018,Manual,10318,Petrol,145.64501912,66.4,1.0,10308
 C-MAX,2015,Manual,18822,Petrol,36.8026973,56.4,1.0,10313
 Focus,2018,Semi-Auto,30589,Petrol,146.63200406,46.5,1.5,18944
 Fiesta,2019,Manual,13649,Petrol,152.45507034,66.1,1.0,11966
 B-MAX,2016,Manual,26040,Diesel,0.0,75.0,1.5,6837
 Fiesta,2015,Semi-Auto,6939,Petrol,0.0,58.2,1.6,8545
 Fiesta,2013,Manual,21468,Petrol,0.0,67.1,1.0,7623
 EcoSport,2017,Manual,17647,Petrol,128.89843829,52.9,1.0,10328
 Fiesta,2019,Manual,9125,Petrol,149.01077098,56.5,1.0,12681
 Focus,2019,Manual,2985,Petrol,147.69600128,61.0,1.0,17492
 EcoSport,2017,Manual,11664,Petrol,154.00169723,54.0,1.0,10603
 Focus,2019,Manual,3879,Petrol,146.18030592,60.9,1.0,16321
 EcoSport,2017,Manual,18772,Petrol,154.75625768,53.2,1.0,10495
 Fiesta,2014,Manual,40091,Petrol,88.25329143,54.9,1.2,5368
 Fiesta,2016,Manual,13588,Petrol,0.0,66.9,1.0,8352
 Focus,2017,Manual,4984,Diesel,0.0,74.3,1.5,9649
 Focus,2007,Manual,28836,Petrol,203.76790057,41.5,2.0,3824
 Focus,2012,Manual,40134,Petrol,200.54034042,42.8,1.6,6434
 EcoSport,2017,Manual,16868,Petrol,149.40417598,55.0,1.0,9249
 Focus,2018,Manual,19557,Petrol,147.38034064,61.0,1.0,12671
 Fiesta,2017,Manual,6312,Petrol,147.57249281,60.4,1.0,9602
 Ka+,2016,Manual,7174,Petrol,69.26823763,58.7,1.2,8999
 Kuga,2015,Manual,72076,Diesel,147.91359386,55.1,2.0,11499
 Edge,2017,Semi-Auto,18989,Diesel,161.81371511,49.3,2.0,19819
 Fiesta,2016,Manual,52559,Petrol,0.0,66.5,1.0,7983
 Fiesta,2018,Manual,16027,Petrol,148.87636476,66.1,1.0,11261
 Fiesta,2016,Manual,7488,Petrol,134.31308178,54.6,1.2,8261
 Fiesta,2014,Manual,46210,Petrol,0.0,67.0,1.0,6286
 Fiesta,2018,Manual,14842,Petrol,147.73957691,48.2,1.5,12744
 Focus,2018,Manual,11136,Petrol,154.65203696,58.6,1.0,13494
 Fiesta,2015,Manual,50802,Petrol,24.10772934,63.1,1.0,7246
 KA,2014,Manual,22321,Petrol,67.58659151,58.7,1.2,5014
 Kuga,2017,Semi-Auto,18073,Diesel,146.1709579,54.4,2.0,14186
 Fiesta,2014,Manual,115332,Petrol,51.63154507,56.5,1.0,5966
 Kuga,2010,Manual,19542,Diesel,147.78950463,46.0,2.0,20095
 Focus,2016,Manual,12390,Petrol,26.09499729,61.0,1.0,9929
 Puma,2019,Manual,3131,Petrol,148.7071649,50.7,1.0,23255
 B-MAX,2017,Manual,2830,Diesel,20.25716136,69.4,1.5,8999
 Fiesta,2013,Manual,44740,Petrol,148.16545209,48.4,1.6,6043
 Kuga,2017,Manual,31062,Diesel,149.84884274,60.1,2.0,13613
 Fiesta,2017,Manual,26230,Petrol,145.93707342,56.5,1.0,11761
 EcoSport,2018,Manual,12578,Diesel,145.58568004,68.8,1.5,13698
 B-MAX,2013,Manual,37572,Petrol,40.25723501,55.4,1.0,5229
 Fiesta,2015,Manual,22573,Petrol,0.0,65.9,1.0,7996
 Grand C-MAX,2019,Manual,7023,Petrol,148.13364007,41.0,1.0,15233
 Fiesta,2015,Manual,25107,Petrol,0.0,67.1,1.0,8994
 Fiesta,2020,Manual,1432,Petrol,148.92279438,55.7,1.0,15308
 Focus,2009,Manual,57146,Petrol,150.04836405,49.6,1.0,5447
 Kuga,2018,Manual,15146,Diesel,146.03045573,39.6,2.0,18415
 Focus,2013,Manual,68218,Diesel,25.60878015,68.6,1.6,5110
 Fiesta,2017,Manual,23072,Petrol,147.70093317,66.6,1.0,10078
 Focus,2018,Manual,6591,Petrol,149.11692942,58.0,1.0,13019
 Focus,2018,Manual,15622,Petrol,145.49507641,58.0,1.0,12993
 Fiesta,2014,Manual,32898,Petrol,146.88913846,65.8,1.0,8680
 Focus,2011,Manual,70275,Diesel,21.8111305,68.6,1.6,6533
 Fiesta,2018,Manual,30528,Petrol,146.27101772,55.2,1.0,10211
 Kuga,2014,Manual,49949,Diesel,149.39619949,53.3,2.0,10692
 Focus,2017,Manual,33313,Petrol,129.35913844,51.7,1.0,11975
 Mondeo,2017,Manual,91416,Hybrid,80.43687791,64.9,2.0,13496
 Focus,2017,Semi-Auto,15805,Petrol,126.59310907,51.8,1.0,10843
 Kuga,2018,Automatic,24796,Diesel,146.33775306,52.8,2.0,14993
 Kuga,2019,Manual,4337,Petrol,152.43546354,39.3,1.5,21238
 Ka+,2017,Manual,19830,Petrol,152.49579761,58.7,1.2,7586
 Mondeo,2009,Automatic,67860,Diesel,145.41064643,64.5,2.0,3082
 Mondeo,2016,Manual,48643,Diesel,48.81991684,65.1,2.0,10797
 Focus,2017,Manual,29479,Petrol,146.64723869,41.8,2.0,17061
 Fiesta,2017,Manual,18385,Diesel,134.74631849,54.6,1.2,8999
 Fiesta,2017,Manual,10671,Petrol,147.16714489,66.7,1.0,10209
 Fiesta,2017,Manual,5689,Petrol,0.0,66.8,1.0,10019
 KA,2018,Manual,4674,Petrol,145.54288172,57.7,1.2,8819
 Fiesta,2016,Manual,18853,Petrol,131.04948296,54.4,1.2,7581
 Focus,2018,Manual,12927,Diesel,149.01479129,74.3,1.5,12550
 Focus,2018,Manual,13914,Petrol,147.24102453,58.5,1.0,13430
 Ka+,2018,Manual,22943,Petrol,150.24491084,43.6,1.2,8100
 Focus,2017,Automatic,29799,Petrol,164.32085456,45.2,1.5,10999
 Grand Tourneo Connect,2019,Manual,8215,Diesel,147.35741902,62.3,1.5,19682
 Kuga,2017,Semi-Auto,53182,Diesel,145.15833504,48.6,2.0,18651
 Fiesta,2016,Automatic,22928,Petrol,153.80061854,54.7,1.0,9991
 Fiesta,2017,Manual,70270,Petrol,22.94887411,63.4,1.0,7995
 Fiesta,2018,Manual,7355,Petrol,146.68911341,66.6,1.0,15415
 Kuga,2015,Manual,44286,Diesel,145.28104064,55.2,2.0,12071
 Focus,2017,Manual,12265,Petrol,29.13753359,61.2,1.0,11997
 Fiesta,2017,Manual,11523,Petrol,147.1740379,67.0,1.0,9824
 Focus,2017,Manual,35293,Petrol,22.97006647,61.1,1.0,10496
 Fiesta,2018,Manual,4382,Petrol,154.15923388,66.7,1.0,11019
 Focus,2013,Manual,64552,Diesel,26.08278088,68.1,1.6,6698
 Fiesta,2015,Manual,32007,Petrol,55.16318878,55.0,1.2,5986
 Fiesta,2017,Manual,12708,Petrol,25.15484708,63.7,1.0,9715
 Focus,2015,Manual,28023,Petrol,129.55126682,51.9,1.5,9657
 B-MAX,2016,Manual,15545,Petrol,0.0,58.6,1.0,7402
 Fiesta,2019,Manual,13357,Petrol,145.7270734,55.5,1.0,9583
 Ka+,2017,Manual,18067,Petrol,147.10314765,58.7,1.2,8114
 Focus,2019,Semi-Auto,7869,Petrol,145.65787441,51.6,1.0,16258
 Kuga,2017,Manual,44493,Diesel,131.27437392,60.8,2.0,14152
 Focus,2018,Manual,14454,Diesel,146.86690702,67.4,2.0,18302
 S-MAX,2017,Semi-Auto,8486,Diesel,147.5044211,52.5,2.0,21476
 Galaxy,2019,Manual,12246,Diesel,145.69482811,56.5,2.0,21054
 Fiesta,2015,Semi-Auto,18320,Petrol,153.55018378,47.9,1.6,10517
 Fiesta,2016,Semi-Auto,8888,Petrol,0.0,58.0,1.0,10842
 Mondeo,2015,Manual,58829,Diesel,81.15205659,64.9,2.0,11305
 Fiesta,2017,Manual,11112,Petrol,148.12326951,59.3,1.0,10784
 Focus,2019,Manual,12279,Petrol,149.19743118,48.0,1.5,19251
 Fiesta,2017,Manual,25894,Petrol,147.8185478,66.6,1.0,9279
 Focus,2008,Manual,79022,Diesel,22.38554746,68.4,1.6,2553
 Kuga,2017,Semi-Auto,9059,Diesel,146.10133541,55.2,2.0,13429
 Kuga,2016,Manual,20087,Diesel,147.90817743,48.1,2.0,13240
 Focus,2018,Manual,8776,Petrol,149.21617805,58.0,1.0,13561
 Kuga,2019,Automatic,1908,Diesel,148.80370956,37.6,2.0,32144
 EcoSport,2017,Manual,18740,Petrol,150.78629896,52.5,1.0,10320
 Focus,2018,Manual,9062,Petrol,149.42458832,61.0,1.0,17110
 Fiesta,2018,Manual,12749,Petrol,147.07569394,66.5,1.0,11072
 Fiesta,2014,Manual,41159,Petrol,0.0,67.0,1.0,6866
 Fiesta,2018,Manual,16066,Petrol,152.8618188,59.0,1.0,10155
 Mondeo,2019,Semi-Auto,1438,Diesel,153.41264223,65.0,1.5,16263
 Ka+,2017,Manual,14599,Petrol,149.20856216,57.8,1.2,7174
 Focus,2019,Automatic,1435,Petrol,154.65146378,48.8,1.0,16499
 S-MAX,2019,Manual,7877,Diesel,149.4713747,55.0,2.0,23895
 Focus,2017,Manual,14758,Petrol,149.02164788,41.5,2.0,18796
 Fiesta,2018,Manual,10207,Petrol,148.60240026,60.2,1.0,12125
 Mondeo,2019,Manual,8521,Diesel,149.5244745,70.0,2.0,23247
 Fiesta,2017,Manual,68700,Petrol,130.5510348,54.7,1.2,8473
 Fiesta,2018,Manual,10147,Petrol,145.2211564,56.3,1.1,11500
 Ka+,2018,Manual,10893,Petrol,147.55295127,43.8,1.2,10150
 Focus,2018,Manual,11452,Petrol,153.80812151,61.3,1.0,12765
 Fiesta,2017,Manual,11569,Petrol,0.0,63.9,1.0,9625
 EcoSport,2018,Manual,6058,Petrol,147.83685569,54.5,1.0,15343
 Focus,2018,Semi-Auto,3988,Petrol,149.83610649,50.7,1.0,10497
 Kuga,2018,Manual,22530,Diesel,152.53525568,61.3,2.0,18296
 C-MAX,2017,Manual,18536,Diesel,35.09017004,55.6,1.5,11499
 Focus,2019,Manual,9809,Petrol,145.84651442,59.9,1.0,20511
 Grand C-MAX,2016,Semi-Auto,904,Diesel,152.12040145,56.5,1.5,11499
 Fiesta,2017,Manual,14449,Petrol,0.0,66.1,1.0,9999
 Galaxy,2015,Automatic,25780,Diesel,182.43945588,44.8,2.0,9829
 Fiesta,2019,Manual,3965,Petrol,145.30632245,49.5,1.1,10798
 Fiesta,2018,Manual,10788,Petrol,146.22916714,40.3,2.0,15083
 Fiesta,2017,Manual,14923,Petrol,0.0,67.0,1.0,10354
 Fiesta,2018,Manual,8979,Petrol,145.26285732,59.8,1.0,15194
 Focus,2018,Manual,12628,Petrol,147.54763642,52.2,1.0,14068
 EcoSport,2017,Manual,15504,Petrol,110.00639749,54.9,1.0,9374
 Fiesta,2018,Manual,12149,Petrol,146.06101804,65.7,1.0,8818
 Focus,2019,Manual,778,Petrol,146.76014122,59.6,1.0,15767
 Fiesta,2016,Automatic,37221,Petrol,147.77155714,58.5,1.0,9126
 Focus,2018,Manual,15249,Diesel,146.58105255,74.3,1.5,14148
 Fiesta,2017,Manual,32058,Petrol,146.41314036,48.1,1.6,10441
 Fiesta,2017,Manual,16612,Petrol,146.1702551,67.0,1.0,11500
 Focus,2018,Manual,22191,Petrol,149.86754692,58.7,1.0,13494
 Focus,2019,Manual,5857,Petrol,146.35164327,60.2,1.0,15202
 Focus,2019,Automatic,2566,Petrol,145.98038508,51.3,1.0,16501
 Focus,2018,Manual,16322,Diesel,149.79801159,67.8,2.0,17053
 Fiesta,2017,Manual,16889,Petrol,147.55674385,66.1,1.0,9991
 Fiesta,2016,Manual,32898,Petrol,0.0,66.9,1.0,8999
 Fiesta,2018,Manual,12172,Petrol,151.13713871,66.4,1.0,13046
 Fiesta,2018,Manual,14043,Petrol,147.19180002,67.0,1.0,10853
 Kuga,2017,Manual,12311,Petrol,236.22436729,38.4,1.5,15306
 Focus,2018,Manual,17210,Petrol,147.46822756,60.1,1.0,15515
 Focus,2017,Manual,15810,Petrol,22.83085184,60.9,1.0,10498
 Kuga,2017,Manual,20422,Diesel,146.52950454,55.1,2.0,14402
 Focus,2018,Automatic,7495,Petrol,146.63533171,45.5,1.5,20159
 Kuga,2016,Manual,22431,Diesel,131.7057741,61.3,2.0,13251
 EcoSport,2014,Manual,20893,Petrol,189.22376272,44.2,1.6,7853
 Focus,2015,Manual,61530,Diesel,0.0,74.3,1.5,6979
 Kuga,2018,Manual,21741,Petrol,145.84964177,39.3,1.5,17708
 Mondeo,2019,Manual,19768,Diesel,145.80446449,63.9,2.0,17770
 Focus,2017,Manual,13342,Diesel,0.0,74.3,1.5,10665
 Kuga,2015,Manual,45766,Diesel,132.31512282,60.2,2.0,11184
 Focus,2017,Automatic,7112,Petrol,148.32925643,65.5,1.0,11244
 Focus,2017,Manual,31643,Petrol,0.0,74.3,1.5,10454
 Focus,2018,Manual,17456,Diesel,149.76703309,74.3,1.5,12538
 Focus,2017,Manual,20928,Petrol,147.66332071,41.7,2.0,17990
 Kuga,2018,Semi-Auto,22538,Diesel,149.84925725,54.9,2.0,14823
 Fiesta,2017,Manual,10181,Petrol,29.29697457,63.3,1.0,11824
 Ka+,2018,Manual,15653,Petrol,152.10212875,58.5,1.2,7523
 Focus,2011,Automatic,79813,Diesel,0.0,67.8,1.6,3410
 Focus,2019,Manual,4503,Petrol,146.53549681,60.8,1.0,15589
 Focus,2016,Manual,19291,Diesel,26.88267078,68.0,2.0,15998
 Grand Tourneo Connect,2011,Manual,140698,Diesel,203.3715743,41.0,2.0,8992
 Focus,2018,Manual,16632,Petrol,145.43805682,42.1,2.0,19664
 Kuga,2014,Manual,35701,Diesel,125.56349133,61.2,2.0,12533
 Kuga,2018,Manual,7161,Diesel,146.86361819,60.6,2.0,16243
 EcoSport,2019,Manual,10698,Diesel,152.79957131,54.6,1.5,16002
 Kuga,2017,Semi-Auto,29160,Diesel,147.50514848,59.5,1.5,13873
 Fiesta,2018,Manual,31699,Diesel,149.64985745,88.3,1.5,9997
 Fiesta,2017,Manual,12560,Diesel,0.0,79.4,1.5,11930
 Fiesta,2019,Manual,7118,Petrol,151.97978983,59.8,1.5,16002
 Fiesta,2016,Manual,47771,Petrol,0.0,67.0,1.0,8457
 C-MAX,2014,Manual,21910,Petrol,62.98897435,55.6,1.0,7535
 Focus,2014,Semi-Auto,13143,Diesel,0.0,67.7,1.5,9783
 EcoSport,2017,Manual,31177,Petrol,150.4678375,45.1,1.5,10499
 Ka+,2016,Manual,13604,Petrol,99.62206832,58.4,1.2,6984
 Fiesta,2016,Manual,7249,Petrol,132.53984669,54.3,1.2,8537
 Focus,2017,Manual,10816,Petrol,128.23170696,51.4,1.5,11726
 Fiesta,2018,Manual,35147,Petrol,152.80260219,66.1,1.0,10158
 Grand C-MAX,2017,Manual,3678,Diesel,85.32209966,65.6,1.5,10525
 Fiesta,2019,Manual,16061,Petrol,149.16782748,55.7,1.1,12573
 Fiesta,2017,Manual,28613,Petrol,150.11010137,67.0,1.0,9737
 Focus,2015,Manual,29663,Petrol,149.90651789,60.5,1.0,9325
 Fiesta,2017,Manual,28760,Petrol,0.0,66.7,1.0,9391
 Kuga,2019,Manual,2009,Diesel,145.05394902,38.4,2.0,19266
 C-MAX,2015,Manual,38792,Diesel,61.42092127,65.0,1.5,9928
 Fiesta,2017,Manual,16431,Petrol,146.3591569,67.0,1.0,8713
 Kuga,2014,Manual,61687,Diesel,149.75980496,48.2,2.0,9982
 Fiesta,2018,Manual,11110,Petrol,147.70368966,66.7,1.0,12041
 Fiesta,2018,Manual,15521,Petrol,151.8877314,65.6,1.1,10495
 EcoSport,2017,Manual,24001,Petrol,149.23363564,53.0,1.0,9998
 Focus,2017,Automatic,25833,Petrol,128.05485356,51.9,1.0,10904
 Fiesta,2016,Manual,10698,Petrol,129.86949265,54.6,1.2,8998
 Mustang,2013,Manual,38231,Petrol,38.01933024,57.9,1.0,5448
 Grand C-MAX,2014,Manual,25262,Petrol,47.5375513,64.9,1.0,8466
 Kuga,2018,Manual,19106,Diesel,147.62398302,60.7,2.0,16347
 Kuga,2017,Manual,25463,Diesel,149.46430116,54.4,2.0,16026
 EcoSport,2018,Manual,14513,Petrol,147.27596219,55.1,1.0,10878
 Kuga,2019,Manual,12028,Diesel,146.62911185,39.6,2.0,20534
 Fiesta,2017,Manual,19110,Petrol,149.30195159,67.1,1.0,9999
 Ka+,2017,Manual,15601,Petrol,148.91956029,58.0,1.2,7992
 Focus,2018,Manual,8036,Petrol,154.15767781,66.6,1.0,11466
 Fiesta,2019,Manual,1427,Petrol,148.50156086,56.4,1.1,14067
 Fiesta,2017,Manual,25989,Petrol,0.0,67.1,1.0,9996
 EcoSport,2017,Manual,24544,Diesel,151.24293359,65.2,1.5,13321
 Fiesta,2016,Manual,9958,Petrol,148.84374013,55.0,1.2,8554
 Focus,2018,Manual,13593,Diesel,152.91695291,68.8,1.5,14811
 Kuga,2015,Manual,41636,Diesel,147.22789762,54.3,2.0,13491
 Fiesta,2015,Manual,39788,Petrol,95.6054255,55.1,1.2,7007
 Focus,2019,Manual,2854,Petrol,145.31500734,61.1,1.0,18846
 Grand C-MAX,2016,Manual,24311,Petrol,190.18725503,44.9,1.5,8998
 Kuga,2019,Automatic,4641,Petrol,150.69191886,31.5,1.5,22913
 Grand C-MAX,2016,Manual,15883,Petrol,125.50666299,61.2,1.0,10995
 Kuga,2017,Manual,10367,Diesel,145.36237315,64.6,1.5,13812
 Kuga,2017,Manual,11821,Diesel,148.94040452,55.2,2.0,14394
 Focus,2017,Manual,14453,Diesel,149.07928778,74.3,1.5,9864
 EcoSport,2014,Manual,30659,Petrol,134.475007,53.5,1.0,7548
 Fiesta,2017,Manual,16892,Petrol,149.47843235,63.6,1.0,10306
 EcoSport,2018,Manual,7317,Diesel,150.58063294,65.3,1.5,15535
 Mondeo,2019,Manual,4348,Diesel,147.550599,79.8,1.5,18954
 Fiesta,2018,Manual,6082,Petrol,146.09705917,58.9,1.0,13319
 Fiesta,2017,Manual,49799,Petrol,151.90091445,54.9,1.2,7395
 Mondeo,2018,Manual,17846,Diesel,147.92508261,70.4,2.0,11669
 Focus,2017,Automatic,25423,Petrol,130.97930812,51.8,1.0,11499
 Kuga,2018,Manual,22762,Diesel,146.71202299,39.2,2.0,16499
 Fiesta,2017,Manual,16819,Diesel,21.04006565,69.8,1.5,14436
 Fiesta,2013,Manual,11217,Petrol,0.0,66.6,1.0,6192
 Fiesta,2019,Manual,10448,Petrol,149.66437094,59.8,1.0,12989
 Fiesta,2018,Manual,3287,Petrol,148.67192606,59.4,1.0,13687
 Fiesta,2019,Manual,2166,Petrol,149.0095302,60.0,1.0,16504
 Kuga,2019,Automatic,6224,Diesel,146.09071997,42.3,2.0,23852
 Kuga,2015,Manual,47335,Diesel,145.15718015,54.5,2.0,12853
 Edge,2019,Automatic,4231,Diesel,146.82344113,37.3,2.0,42775
 Fiesta,2017,Manual,12073,Petrol,0.0,66.9,1.0,9378
 Focus,2017,Manual,17116,Petrol,153.11207661,52.0,1.0,11229
 KA,2019,Manual,21577,Petrol,148.07231561,43.8,1.2,9884
 Fiesta,2018,Manual,18463,Petrol,145.99236283,67.0,1.0,10028
 Focus,2017,Semi-Auto,26997,Petrol,0.0,58.5,1.0,10245
 Kuga,2017,Manual,9047,Diesel,146.81162701,55.3,1.5,18374
 Fiesta,2019,Manual,14986,Petrol,146.57842143,55.8,1.0,13998
 Focus,2018,Automatic,6922,Petrol,145.40780605,46.9,1.5,20467
 Focus,2012,Semi-Auto,39113,Petrol,219.83630934,43.3,1.6,7569
 Fiesta,2018,Manual,40160,Petrol,147.51916733,67.1,1.0,10168
 Fiesta,2017,Manual,28787,Petrol,146.52643465,66.5,1.0,9470
 Fiesta,2017,Manual,36016,Petrol,148.5792207,65.9,1.0,8186
 Kuga,2016,Manual,32998,Diesel,43.43611998,64.5,1.5,10757
 Focus,2012,Manual,38284,Petrol,239.85624068,39.2,2.0,9995
 Fiesta,2020,Manual,6181,Petrol,148.37843054,55.4,1.0,12854
 B-MAX,2017,Manual,37165,Petrol,146.80221988,55.8,1.0,7408
 Focus,2017,Manual,26960,Petrol,150.46306889,58.2,1.0,8575
 Focus,2012,Manual,29683,Diesel,148.11914077,68.7,2.0,14907
 Focus,2012,Manual,16501,Diesel,21.69535925,68.3,1.6,5911
 Focus,2018,Manual,8060,Petrol,148.36713987,58.3,1.0,10373
 Focus,2018,Manual,10972,Diesel,147.52637187,67.9,2.0,18249
 Focus,2019,Automatic,3771,Diesel,147.4039353,64.4,2.0,19028
 Kuga,2018,Semi-Auto,22123,Petrol,153.67207267,36.8,1.5,16493
 Fiesta,2017,Manual,15811,Petrol,162.20230432,55.5,1.0,10611
 Fiesta,2019,Manual,9569,Petrol,147.19522105,60.4,1.0,17327
 Fiesta,2015,Manual,29651,Petrol,0.0,66.0,1.0,10357
 Kuga,2017,Manual,14321,Diesel,154.82531284,55.3,2.0,16829
 Edge,2017,Manual,9456,Diesel,148.93234745,49.0,2.0,19561
 Fiesta,2017,Manual,13,Petrol,147.12150495,66.6,1.0,11204
 Puma,2019,Manual,798,Diesel,147.76958937,50.8,1.5,20962
 Kuga,2018,Manual,13650,Diesel,146.27970539,54.9,1.5,16012
 Focus,2018,Manual,12155,Petrol,145.63717608,39.5,1.5,14703
 Focus,2018,Manual,5698,Diesel,148.16097128,74.3,1.5,13083
 Fiesta,2019,Manual,3488,Petrol,145.1196439,59.5,1.0,14166
 Focus,2015,Manual,85589,Diesel,42.47717329,62.5,1.6,7992
 Focus,2013,Manual,49207,Diesel,0.0,74.3,1.5,6887
 Fiesta,2017,Manual,5165,Petrol,133.54598906,54.7,1.2,7925
 Focus,2014,Manual,19492,Petrol,21.42218264,60.4,1.0,9314
 Mondeo,2019,Automatic,78465,Diesel,147.21209862,66.0,2.0,4659
 Fiesta,2014,Manual,47089,Petrol,0.0,66.8,1.0,7081
 Kuga,2017,Manual,14528,Diesel,145.0812298,54.8,2.0,17583
 C-MAX,2016,Manual,28240,Diesel,118.32687268,64.2,1.5,10697
 Kuga,2017,Automatic,35769,Diesel,151.41486174,54.3,2.0,16003
 Fiesta,2015,Manual,19374,Petrol,134.37362428,55.1,1.2,8425
 EcoSport,2017,Automatic,32639,Petrol,148.00049651,45.1,1.5,8468
 Kuga,2018,Manual,17024,Diesel,148.88389001,54.6,1.5,16506
 Fiesta,2019,Manual,55114,Petrol,149.89960276,39.4,1.5,12790
 Fiesta,2018,Semi-Auto,23999,Petrol,146.49416146,54.7,1.0,12286
 Focus,2017,Manual,19255,Petrol,146.09784465,57.7,1.0,8066
 Fiesta,2016,Manual,18510,Petrol,0.0,66.1,1.0,9491
 B-MAX,2017,Manual,5213,Petrol,150.43159953,44.2,1.4,12012
 Fiesta,2013,Automatic,15480,Petrol,0.0,58.1,1.0,10996
 Fiesta,2018,Manual,19049,Petrol,149.21214688,64.5,1.1,9926
 Grand C-MAX,2014,Semi-Auto,13053,Diesel,44.89000335,59.7,1.5,8583
 Fiesta,2016,Manual,30413,Petrol,0.0,66.5,1.0,7553
 B-MAX,2018,Manual,7645,Petrol,147.64161343,54.6,1.0,13714
 Kuga,2017,Automatic,13539,Petrol,236.26028635,38.6,1.5,18829
 Focus,2015,Manual,13039,Diesel,25.98432752,68.2,2.0,15955
 Kuga,2018,Manual,46319,Diesel,149.5470871,60.9,2.0,12153
 Kuga,2019,Semi-Auto,12399,Diesel,151.93323549,42.4,2.0,25287
 Kuga,2017,Manual,16564,Petrol,235.487561,38.2,1.5,15774
 EcoSport,2018,Manual,13900,Petrol,148.84433074,54.2,1.0,16028
 Mondeo,2017,Manual,29642,Diesel,149.84320437,54.7,2.0,16973
 Fiesta,2017,Manual,21493,Petrol,146.91214309,67.1,1.0,8998
 Fiesta,2018,Manual,13659,Petrol,146.91626608,65.5,1.1,10206
 Fiesta,2013,Manual,48134,Petrol,146.06109615,66.3,1.0,6058
 Fiesta,2018,Manual,7195,Petrol,149.12016707,63.4,1.0,14200
 Focus,2019,Manual,2,Petrol,146.63034574,61.2,1.0,16572
 Focus,2018,Automatic,4773,Diesel,145.59438101,50.4,1.5,18604
 Kuga,2017,Manual,6662,Petrol,145.35366979,54.7,1.0,16002
 Kuga,2017,Manual,35386,Diesel,128.54393999,60.7,2.0,14871
 Mondeo,2019,Automatic,12150,Diesel,147.78193831,45.6,2.0,16009
 C-MAX,2012,Automatic,34230,Diesel,149.21705166,64.2,1.6,5671
 EcoSport,2018,Manual,12636,Diesel,152.82827739,68.0,1.5,15974
 Fiesta,2017,Manual,11830,Petrol,0.0,65.7,1.0,8600
 Fiesta,2017,Manual,12037,Petrol,148.95775568,58.5,1.0,11452
 Fiesta,2018,Manual,20735,Petrol,151.01199681,66.6,1.0,10706
 B-MAX,2017,Manual,10399,Petrol,148.17023195,56.0,1.0,11500
 Focus,2019,Manual,23547,Petrol,147.08671468,60.7,1.0,13998
 Focus,2012,Automatic,7878,Diesel,147.5271215,65.0,1.5,18139
 Focus,2018,Automatic,8137,Petrol,145.40486205,46.6,1.5,16491
 Fiesta,2019,Manual,5886,Petrol,148.19031021,59.3,1.0,16140
 Grand C-MAX,2016,Automatic,30820,Diesel,66.74464359,59.9,2.0,10513
 EcoSport,2018,Manual,33382,Petrol,148.50163857,53.7,1.0,10413
 Fiesta,2018,Manual,31639,Petrol,145.80314487,65.9,1.0,10210
 Fiesta,2017,Manual,3343,Petrol,131.78114537,54.6,1.2,9444
 Grand Tourneo Connect,2018,Manual,13317,Diesel,149.63507559,65.0,1.5,12731
 Fiesta,2019,Manual,11857,Petrol,148.25247286,59.7,1.0,14779
 Fiesta,2018,Manual,17964,Petrol,154.1902794,63.6,1.0,11178
 Kuga,2017,Automatic,30184,Diesel,134.93551403,57.0,1.5,10597
 Fiesta,2017,Manual,47528,Petrol,154.33674532,66.1,1.0,9758
 Focus,2018,Manual,5675,Petrol,149.57931024,58.4,1.0,13796
 Edge,2016,Automatic,6882,Diesel,149.37723427,48.3,2.0,25093
 Focus,2019,Manual,9877,Petrol,145.15267865,61.1,1.0,15445
 EcoSport,2016,Manual,22060,Petrol,68.71826705,54.9,1.0,7993
 Fiesta,2017,Manual,10422,Petrol,147.80130327,58.2,1.2,8703
 Fiesta,2020,Manual,2968,Petrol,146.33246057,49.3,1.0,17323
 Focus,2019,Automatic,22305,Diesel,154.31368146,65.3,2.0,15892
 Grand C-MAX,2017,Manual,36725,Petrol,48.04302581,64.8,1.0,10778
 Fiesta,2019,Manual,3697,Petrol,152.59141879,56.4,1.1,11500
 Focus,2017,Manual,26219,Diesel,20.12206071,67.7,2.0,15977
 Focus,2018,Manual,18189,Petrol,149.08008588,60.5,1.0,12002
 Fiesta,2019,Manual,11463,Petrol,150.46982408,59.5,1.0,12236
 EcoSport,2017,Automatic,14567,Petrol,193.0292955,44.8,1.5,10499
 EcoSport,2019,Manual,1092,Petrol,150.64105436,54.1,1.0,19948
 Focus,2017,Semi-Auto,7282,Diesel,149.35661824,52.0,1.5,14994
 Kuga,2017,Semi-Auto,20213,Diesel,149.31745784,54.3,1.5,12056
 Kuga,2018,Manual,13256,Petrol,145.64991225,39.2,1.5,18448
 Kuga,2017,Semi-Auto,52182,Diesel,160.37788125,49.0,2.0,17503
 KA,2019,Manual,8014,Petrol,147.37049065,56.4,1.0,13499
 EcoSport,2017,Manual,29889,Petrol,128.92865643,53.9,1.0,8908
 C-MAX,2019,Manual,10589,Diesel,148.25450693,70.1,1.5,14761
 Fiesta,2014,Manual,38523,Petrol,0.0,65.8,1.0,6957
 Fiesta,2018,Semi-Auto,28743,Petrol,150.81852806,54.3,1.0,15674
 S-MAX,2019,Manual,64801,Diesel,146.8949936,55.1,2.0,16328
 Kuga,2017,Manual,25318,Diesel,129.67122921,60.5,2.0,14994
